"wage","ethnicity","occupation"
7,"cauc","management"
10,"other","management"
14.53,"cauc","management"
20,"cauc","management"
22.5,"cauc","management"
3.64,"cauc","management"
10.62,"cauc","management"
24.98,"cauc","management"
6,"cauc","management"
19,"cauc","management"
13.2,"cauc","management"
22.5,"cauc","management"
15,"cauc","management"
6.88,"cauc","management"
11.84,"cauc","management"
16.14,"cauc","management"
13.95,"cauc","management"
13.16,"cauc","management"
5.3,"other","management"
4.5,"cauc","management"
10,"cauc","management"
10,"cauc","management"
10,"hispanic","management"
9.37,"cauc","management"
5.8,"cauc","management"
17.86,"cauc","management"
1,"cauc","management"
8.8,"cauc","management"
9,"other","management"
18.16,"cauc","management"
7.81,"cauc","management"
10.62,"cauc","management"
4.5,"cauc","management"
17.25,"cauc","management"
10.5,"cauc","management"
9.22,"cauc","management"
15,"other","management"
22.5,"cauc","management"
4.55,"cauc","sales"
9,"cauc","sales"
13.33,"cauc","sales"
15,"cauc","sales"
7.5,"cauc","sales"
4.25,"cauc","sales"
12.5,"cauc","sales"
5.13,"cauc","sales"
3.35,"other","sales"
11.11,"cauc","sales"
3.84,"other","sales"
6.4,"cauc","sales"
5.56,"cauc","sales"
10,"cauc","sales"
5.65,"cauc","sales"
11.5,"cauc","sales"
3.5,"cauc","sales"
3.35,"cauc","sales"
4.75,"cauc","sales"
19.98,"cauc","sales"
3.5,"cauc","sales"
4,"cauc","sales"
7,"cauc","sales"
6.25,"cauc","sales"
4.5,"cauc","sales"
14.29,"cauc","sales"
5,"cauc","sales"
13.75,"cauc","sales"
13.71,"cauc","sales"
7.5,"other","sales"
3.8,"cauc","sales"
5,"hispanic","sales"
9.42,"cauc","sales"
5.5,"cauc","sales"
3.75,"cauc","sales"
3.5,"cauc","sales"
5.8,"cauc","sales"
12,"cauc","sales"
5,"hispanic","office"
8.75,"cauc","office"
10,"cauc","office"
8.5,"cauc","office"
8.63,"other","office"
9,"cauc","office"
5.5,"cauc","office"
11.11,"cauc","office"
10,"cauc","office"
5.2,"hispanic","office"
8,"cauc","office"
3.56,"hispanic","office"
5.2,"cauc","office"
11.67,"cauc","office"
11.32,"cauc","office"
7.5,"cauc","office"
5.5,"cauc","office"
5,"cauc","office"
7.75,"cauc","office"
5.25,"cauc","office"
9,"cauc","office"
9.65,"cauc","office"
5.21,"cauc","office"
7,"other","office"
12.16,"other","office"
5.25,"cauc","office"
10.32,"cauc","office"
3.35,"other","office"
7.7,"cauc","office"
9.17,"cauc","office"
8.43,"cauc","office"
4,"other","office"
4.13,"cauc","office"
3,"cauc","office"
4.25,"cauc","office"
7.53,"cauc","office"
10.53,"cauc","office"
5,"cauc","office"
15.03,"cauc","office"
11.25,"other","office"
6.25,"other","office"
3.5,"other","office"
6.85,"other","office"
12.5,"cauc","office"
12,"cauc","office"
6,"cauc","office"
9.5,"cauc","office"
4.1,"cauc","office"
10.43,"cauc","office"
5,"cauc","office"
7.69,"cauc","office"
5.5,"other","office"
6.4,"cauc","office"
12.5,"cauc","office"
6.25,"cauc","office"
8,"cauc","office"
9.6,"cauc","office"
9.1,"hispanic","office"
7.5,"cauc","office"
5,"cauc","office"
7,"cauc","office"
3.55,"cauc","office"
8.5,"other","office"
4.5,"cauc","office"
7.88,"other","office"
5.25,"cauc","office"
5,"cauc","office"
9.33,"cauc","office"
10.5,"cauc","office"
7.5,"other","office"
9.5,"cauc","office"
9.6,"cauc","office"
5.87,"other","office"
11.02,"cauc","office"
5,"cauc","office"
5.62,"cauc","office"
12.5,"cauc","office"
10.81,"cauc","office"
5.4,"cauc","office"
7,"cauc","office"
4.59,"cauc","office"
6,"cauc","office"
11.71,"cauc","office"
5.62,"hispanic","office"
5.5,"cauc","office"
4.85,"cauc","office"
6.75,"cauc","office"
4.25,"cauc","office"
5.75,"cauc","office"
3.5,"cauc","office"
3.35,"cauc","office"
10.62,"cauc","office"
8,"cauc","office"
4.75,"cauc","office"
8.5,"cauc","office"
8.85,"other","office"
8,"cauc","office"
6,"cauc","services"
7.14,"cauc","services"
3.4,"other","services"
6,"cauc","services"
3.75,"hispanic","services"
8.89,"other","services"
4.35,"cauc","services"
13.1,"other","services"
4.35,"other","services"
3.5,"cauc","services"
3.8,"cauc","services"
5.26,"cauc","services"
3.35,"other","services"
16.26,"other","services"
4.25,"cauc","services"
4.5,"cauc","services"
8,"cauc","services"
4,"cauc","services"
7.96,"cauc","services"
4,"hispanic","services"
4.15,"cauc","services"
5.95,"cauc","services"
3.6,"hispanic","services"
8.75,"cauc","services"
3.4,"cauc","services"
4.28,"cauc","services"
5.35,"cauc","services"
5,"cauc","services"
7.65,"cauc","services"
6.94,"cauc","services"
7.5,"cauc","services"
3.6,"cauc","services"
1.75,"cauc","services"
3.45,"other","services"
9.63,"cauc","services"
8.49,"cauc","services"
8.99,"cauc","services"
3.65,"cauc","services"
3.5,"cauc","services"
3.43,"other","services"
5.5,"cauc","services"
6.93,"cauc","services"
3.51,"other","services"
3.75,"cauc","services"
4.17,"cauc","services"
9.57,"cauc","services"
14.67,"other","services"
12.5,"cauc","services"
5.5,"cauc","services"
5.15,"cauc","services"
8,"other","services"
5.83,"other","services"
3.35,"cauc","services"
7,"cauc","services"
10,"cauc","services"
8,"cauc","services"
6.88,"cauc","services"
5.55,"cauc","services"
7.5,"other","services"
8.93,"hispanic","services"
9,"other","services"
3.5,"cauc","services"
5.77,"cauc","services"
25,"hispanic","services"
6.85,"other","services"
6.5,"cauc","services"
3.75,"cauc","services"
3.5,"cauc","services"
4.5,"cauc","services"
2.01,"cauc","services"
4.17,"cauc","services"
13,"other","services"
3.98,"cauc","services"
7.5,"cauc","services"
13.12,"other","services"
4,"cauc","services"
3.95,"cauc","services"
13,"cauc","services"
9,"cauc","services"
4.55,"cauc","services"
9.5,"cauc","services"
4.5,"hispanic","services"
8.75,"cauc","services"
10,"cauc","technical"
18,"cauc","technical"
24.98,"cauc","technical"
12.05,"cauc","technical"
22,"cauc","technical"
8.75,"cauc","technical"
22.2,"cauc","technical"
17.25,"cauc","technical"
6,"cauc","technical"
8.06,"cauc","technical"
9.24,"other","technical"
12,"cauc","technical"
10.61,"cauc","technical"
5.71,"cauc","technical"
10,"cauc","technical"
17.5,"other","technical"
15,"cauc","technical"
7.78,"cauc","technical"
7.8,"cauc","technical"
10,"cauc","technical"
24.98,"cauc","technical"
10.28,"cauc","technical"
15,"cauc","technical"
12,"cauc","technical"
10.58,"cauc","technical"
5.85,"cauc","technical"
11.22,"cauc","technical"
8.56,"cauc","technical"
13.89,"cauc","technical"
5.71,"cauc","technical"
15.79,"cauc","technical"
7.5,"cauc","technical"
11.25,"cauc","technical"
6.15,"cauc","technical"
13.45,"other","technical"
6.25,"cauc","technical"
6.5,"cauc","technical"
12,"cauc","technical"
8.5,"cauc","technical"
8,"cauc","technical"
5.75,"cauc","technical"
15.73,"cauc","technical"
9.86,"cauc","technical"
13.51,"cauc","technical"
5.4,"cauc","technical"
6.25,"cauc","technical"
5.5,"cauc","technical"
5,"hispanic","technical"
6.25,"other","technical"
5.75,"cauc","technical"
20.5,"cauc","technical"
5,"cauc","technical"
7,"cauc","technical"
18,"cauc","technical"
12,"cauc","technical"
20.4,"cauc","technical"
22.2,"cauc","technical"
16.42,"cauc","technical"
8.63,"cauc","technical"
19.38,"cauc","technical"
14,"cauc","technical"
10,"cauc","technical"
15.95,"cauc","technical"
20,"cauc","technical"
10,"cauc","technical"
24.98,"cauc","technical"
11.25,"cauc","technical"
22.83,"cauc","technical"
10.2,"cauc","technical"
10,"cauc","technical"
14,"cauc","technical"
12.5,"cauc","technical"
5.79,"cauc","technical"
24.98,"hispanic","technical"
4.35,"cauc","technical"
11.25,"cauc","technical"
6.67,"cauc","technical"
8,"hispanic","technical"
18.16,"cauc","technical"
12,"cauc","technical"
8.89,"cauc","technical"
9.5,"cauc","technical"
13.65,"cauc","technical"
12,"cauc","technical"
15,"cauc","technical"
12.67,"cauc","technical"
7.38,"hispanic","technical"
15.56,"cauc","technical"
7.45,"cauc","technical"
6.25,"cauc","technical"
6.25,"hispanic","technical"
9.37,"cauc","technical"
22.5,"cauc","technical"
7.5,"cauc","technical"
7,"cauc","technical"
5.75,"other","technical"
7.67,"cauc","technical"
12.5,"cauc","technical"
16,"cauc","technical"
11.79,"cauc","technical"
11.36,"cauc","technical"
6.1,"other","technical"
23.25,"other","technical"
19.88,"cauc","technical"
15.38,"cauc","technical"
